#x1        -12
#x2        12
#D         1
#numPoints 256
#runtime   34
#outtime   1
#a0        0.16
#sigma0    1
#filename  data.dat


# t = 0
4.37647 1.10915e-05
4.47059 7.31442e-06
4.56471 4.78105e-06
4.65882 3.09754e-06
4.75294 1.98914e-06
4.84706 1.2661e-06
4.94118 7.98769e-07
5.03529 4.99491e-07
5.12941 3.09591e-07
5.22353 1.90195e-07
5.31765 1.15816e-07
5.41177 6.99013e-08
5.50588 4.18175e-08
5.6 2.4796e-08
5.69412 1.45734e-08
5.78824 8.48965e-09
5.88235 4.90202e-09
5.97647 2.8055e-09
6.07059 1.59148e-09
6.16471 8.94829e-10
6.25882 4.98697e-10
6.35294 2.75476e-10
6.44706 1.5083e-10
6.54118 8.18539e-11
6.63529 4.403e-11
6.72941 2.34751e-11
6.82353 1.24057e-11
6.91765 6.4981e-12
7.01177 3.37371e-12
7.10588 1.73611e-12
7.2 8.85533e-13
7.29412 4.47694e-13
7.38824 2.24344e-13
7.48235 1.11428e-13
7.57647 5.48573e-14
7.67059 2.67684e-14
7.76471 1.2947e-14
7.85882 6.20672e-15
7.95294 2.94925e-15
8.04706 1.38903e-15
8.14118 6.48439e-16
8.2353 3.00037e-16
8.32941 1.37606e-16
8.42353 6.25531e-17
8.51765 2.8185e-17
8.61177 1.25874e-17
8.70588 5.57198e-18
8.8 2.44474e-18
8.89412 1.0632e-18
8.98824 4.58293e-19
9.08235 1.95808e-19
9.17647 8.29211e-20
9.27059 3.48062e-20
9.36471 1.4481e-20
9.45882 5.97168e-21
9.55294 2.44086e-21
9.64706 9.8889e-22
9.74118 3.97101e-22
9.83529 1.58056e-22
9.92941 6.23548e-23
10.0235 2.43829e-23
10.1176 9.45042e-24
10.2118 3.63056e-24
10.3059 1.38243e-24
10.4 5.21761e-25
10.4941 1.95186e-25
10.5882 7.2374e-26
10.6824 2.6599e-26
10.7765 9.68958e-27
10.8706 3.49859e-27
10.9647 1.2521e-27
11.0588 4.44154e-28
11.1529 1.56166e-28
11.2471 5.44234e-29
11.3412 1.87994e-29
11.4353 6.4365e-30
11.5294 2.1843e-30
11.6235 7.34726e-31
11.7176 2.4496e-31
11.8118 8.09493e-32
11.9059 2.65148e-32
12 8.6082e-33
12.0941 2.77009e-33


# t = 0.997427
-11.9059 6.23129e-12
-11.8118 7.8871e-12
-11.7176 1.06354e-11
-11.6235 1.48281e-11
-11.5294 2.09955e-11
-11.4353 2.99064e-11
-11.3412 4.26541e-11
-11.2471 6.0777e-11
-11.1529 8.64237e-11
-11.0588 1.22582e-10
-10.9647 1.73385e-10
-10.8706 2.44539e-10
-10.7765 3.43881e-10
-10.6824 4.82151e-10
-10.5882 6.74014e-10
-10.4941 9.39425e-10
-10.4 1.30546e-09
-10.3059 1.80872e-09
-10.2118 2.49853e-09
-10.1176 3.44117e-09
-10.0235 4.72536e-09
-9.92941 6.46949e-09
-9.83529 8.83105e-09
-9.74118 1.20188e-08
-9.64706 1.63087e-08
-9.55294 2.2064e-08
-9.45882 2.97617e-08
-9.36471 4.00257e-08
-9.27059 5.36696e-08
-9.17647 7.17507e-08
-9.08235 9.56384e-08
-8.98824 1.271e-07
-8.89412 1.68411e-07
-8.8 2.22486e-07
-8.70588 2.93052e-07
-8.61176 3.84854e-07
-8.51765 5.03913e-07
-8.42353 6.57848e-07
-8.32941 8.56258e-07
-8.23529 1.1112e-06
-8.14118 1.43778e-06
-8.04706 1.85482e-06
-7.95294 2.38573e-06
-7.85882 3.0595e-06
-7.76471 3.91193e-06
-7.67059 4.98702e-06
-7.57647 6.33873e-06
-7.48235 8.03294e-06
-7.38824 1.01498e-05
-7.29412 1.27865e-05
-7.2 1.60604e-05
-7.10588 2.01128e-05
-7.01176 2.51131e-05
-6.91765 3.12637e-05
-6.82353 3.88054e-05
-6.72941 4.80236e-05
